,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
"$100,000 or more     ",103,273,77,"16,036",81,"7,440",83,277,103,"2,521",31,--        ,83
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96020,"1,377","2,770",704,"59,746","1,069","36,029",663,"1,599","1,070","6,621",284,*         ,502
"Under $10,000        ",256,357,57,522,189,"1,043",53,78,84,46,30,--        ,23
"$10,000 under $25,000",322,552,141,"5,355",232,"3,326",112,140,227,233,50,--        ,55
"$25,000 under $50,000",357,751,217,"13,188",296,"9,585",168,291,320,983,79,--        ,119
"$50,000 under $75,000",238,572,145,"14,648",188,"9,116",165,461,235,"1,394",63,--        ,133
"$75,000 under $100,000",99,265,74,"8,554",83,"5,904",77,185,99,883,21,--        ,77
"$100,000 or more     ",105,273,70,"17,479",81,"7,055",88,444,105,"3,082",41,*         ,95
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96021,"5,306","12,427","4,625","171,958","4,379","126,052","1,760","3,447","3,430","14,037",740,364,"1,091"
"Under $10,000        ","1,145","1,825",460,"2,755",856,"4,761",232,276,314,139,175,59,42
"$10,000 under $25,000","1,687","3,754","1,488","28,846","1,348","21,750",430,610,994,955,189,85,148
"$25,000 under $50,000","1,473","3,920","1,614","51,901","1,311","42,830",476,574,"1,149","2,812",202,89,334
"$50,000 under $75,000",583,"1,743",664,"35,695",521,"28,590",307,529,559,"2,781",87,66,258
"$75,000 under $100,000",243,699,240,"20,718",208,"14,634",162,392,240,"2,182",46,35,165
"$100,000 or more     ",175,486,159,"32,043",135,"13,487",153,"1,066",174,"5,168",41,30,144
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96022,"5,885","13,066","4,068","240,210","4,751","175,031","2,638","3,804","4,351","22,574","1,130",226,"2,223"
"Under $10,000        ","1,126","1,688",341,"3,586",791,"4,415",260,397,355,160,185,33,58
"$10,000 under $25,000","1,494","2,773",791,"25,300","1,128","17,438",445,496,"1,008","1,034",237,39,232
"$25,000 under $50,000","1,537","3,635","1,185","55,919","1,289","42,900",693,567,"1,300","3,475",310,62,611
"$50,000 under $75,000",905,"2,596",946,"55,382",814,"43,730",566,531,866,"4,269",203,47,598
"$75,000 under $100,000",453,"1,325",464,"38,944",413,"30,537",351,275,452,"3,715",103,24,377
"$100,000 or more     ",370,"1,049",341,"61,079",316,"36,011",323,"1,538",370,"9,921",92,21,347
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96023,448,"1,004",338,"14,205",364,"8,862",182,133,275,"1,409",44,19,74
"Under $10,000        ",116,184,49,548,92,476,24,5,33,11,*         ,*         ,--        
"$10,000 under $25,000",148,346,135,"2,526",117,"1,877",56,52,85,87,20,*         ,10
"$25,000 under $50,000",111,285,102,"3,974",96,"2,919",55,38,84,231,24,19,28
"$50,000 under $75,000",43,107,27,"2,587",37,"2,006",24,18,43,235,*         ,*         ,25
"$75,000 under $100,000",15,45,16,"1,291",22,"1,584",10,1,15,131,*         ,--        ,*         
"$100,000 or more     ",15,37,9,"3,279",*         ,*              ,13,19,15,714,*         ,--        ,11
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96024,352,735,199,"13,008",248,"7,064",183,207,240,"1,047",60,--        ,97
"Under $10,000        ",87,116,14,240,60,216,21,8,20,11,15,--        ,*         
"$10,000 under $25,000",94,189,56,"1,676",68,995,44,61,65,56,16,--        ,22
"$25,000 under $50,000",91,219,69,"3,463",60,"1,864",57,68,76,214,18,--        ,19
"$50,000 under $75,000",42,106,28,"2,545",40,"2,015",29,44,42,218,*         ,--        ,27
"$75,000 under $100,000",15,37,8,"1,256",*         ,*              ,13,8,15,165,11,--        ,10
"$100,000 or more     ",23,68,24,"3,828",20,"1,974",19,18,22,383,*         ,--        ,19
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96025,"1,006","1,871",477,"29,356",724,"19,003",427,716,689,"2,548",178,*         ,232
"Under $10,000        ",286,405,81,875,191,"1,001",67,61,85,40,54,*         ,15
"$10,000 under $25,000",308,542,144,"5,233",207,"3,026",125,195,221,233,45,--        ,43
"$25,000 under $50,000",230,480,138,"8,155",181,"5,673",109,153,202,533,31,--        ,63
"$50,000 under $75,000",106,254,70,"6,403",87,"4,593",70,180,105,591,27,--        ,62
"$75,000 under $100,000",44,112,26,"3,837",36,"2,614",31,57,44,401,10,--        ,26
"$100,000 or more     ",32,78,18,"4,853",22,"2,096",25,70,32,750,11,--        ,23
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96027,858,"1,819",495,"31,819",664,"19,687",465,856,622,"3,107",195,47,256
"Under $10,000        ",207,307,47,177,143,812,81,70,66,32,33,15,17
"$10,000 under $25,000",213,415,115,"3,754",155,"2,375",90,88,149,175,50,16,54
"$25,000 under $50,000",221,534,176,"8,009",186,"5,288",120,218,194,562,61,16,60
"$50,000 under $75,000",120,302,81,"7,327",97,"4,925",90,147,117,660,27,*         ,57
"$75,000 under $100,000",59,171,54,"5,000",53,"3,616",51,39,58,530,24,--        ,36
"$100,000 or more     ",38,90,22,"7,552",30,"2,671",33,294,38,"1,148",*         ,--        ,32
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96028,661,"1,443",425,"27,919",499,"15,707",316,620,493,"2,885",119,24,197
"Under $10,000        ",127,209,54,385,97,471,35,57,30,12,18,10,*         
"$10,000 under $25,000",155,284,78,"2,612",105,"1,646",58,73,106,92,19,*         ,26
"$25,000 under $50,000",180,445,148,"6,663",141,"4,569",81,111,159,419,31,*         ,56
"$50,000 under $75,000",109,279,85,"6,696",88,"3,897",69,134,108,606,22,14,57
"$75,000 under $100,000",49,122,31,"4,260",37,"2,425",36,121,49,515,10,*         ,23
"$100,000 or more     ",41,104,29,"7,303",31,"2,699",37,124,41,"1,241",19,*         ,35
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96029,75,164,49,"2,305",52,"1,493",30,13,52,186,13,24,*         
"Under $10,000        ",21,36,7,20,10,66,13,10,*         ,*              ,*         ,*         ,--        
"$10,000 under $25,000",18,41,16,333,15,238,*         ,*              ,18,13,13,*         ,--        
"$25,000 under $50,000",21,41,9,790,16,554,17,3,20,66,*         ,24,*         
"$50,000 under $75,000",15,46,17,"1,162",11,635,*         ,*              ,14,107,*         ,*         ,*         
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,*         ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96031,47,85,22,711,35,286,13,7,36,47,*         ,--        ,*         
"Under $10,000        ",20,30,7,101,16,57,13,7,14,6,*         ,--        ,--        
"$10,000 under $25,000",16,33,11,253,19,229,*         ,*              ,12,14,*         ,--        ,--        
"$25,000 under $50,000",11,22,4,357,*         ,*              ,*         ,*              ,10,27,*         ,--        ,*         
"$50,000 under $75,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96032,"1,004","2,089",557,"33,783",703,"20,891",542,"1,272",738,"3,192",238,66,301
"Under $10,000        ",227,333,53,-45,120,849,94,106,74,32,52,16,17
"$10,000 under $25,000",282,536,143,"4,876",205,"3,041",106,155,198,210,57,14,54
"$25,000 under $50,000",278,641,192,"10,196",204,"6,198",168,246,252,735,72,10,93
"$50,000 under $75,000",123,317,92,"7,507",97,"4,973",96,168,120,666,31,11,68
"$75,000 under $100,000",53,149,43,"4,547",49,"2,874",42,182,53,451,15,15,38
"$100,000 or more     ",41,113,34,"6,702",28,"2,956",36,415,41,"1,098",11,*         ,31
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96033,164,317,78,"5,395",136,"3,863",60,30,118,412,17,--        ,39
"Under $10,000        ",25,46,15,90,15,77,*         ,*              ,*         ,*              ,*         ,--        ,--        
"$10,000 under $25,000",56,105,29,934,47,729,22,17,40,36,*         ,--        ,*         
"$25,000 under $50,000",46,77,13,"1,664",42,"1,328",17,3,42,125,17,--        ,19
"$50,000 under $75,000",26,62,16,"1,571",32,"1,729",21,10,25,135,*         ,--        ,20
"$75,000 under $100,000",11,27,5,"1,136",*         ,*              ,*         ,*              ,11,116,--        ,--        ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96034,153,307,77,"4,841",105,"3,218",83,100,103,427,21,25,31
"Under $10,000        ",44,68,9,140,27,230,19,23,*         ,*              ,*         ,12,*         
"$10,000 under $25,000",38,62,10,642,24,346,19,24,39,44,21,13,*         
"$25,000 under $50,000",37,93,36,"1,365",29,965,20,24,30,86,*         ,*         ,19
"$50,000 under $75,000",20,54,18,"1,226",14,797,15,18,20,118,*         ,*         ,*         
"$75,000 under $100,000",14,30,4,"1,468",11,880,10,11,14,179,*         ,*         ,12
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,*         ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
96035,"1,047","2,505",966,"31,867",903,"24,813",312,315,668,"2,347",127,76,211
"Under $10,000        ",210,340,93,710,165,868,40,20,60,31,25,14,*         
"$10,000 under $25,000",343,790,329,"5,815",286,"4,518",73,98,188,191,34,14,35
